"nom_lieu";"raison_sociale";"statut";"type_declarant";"code_postal";"departement";"region";"code_naf";"numero";"date_validite";"latitude";"longitude"
"FGLA LE BYGGVIR";"Godebout Frederick";"Invalidé";"Personne physique particulier employeur";"35133";"";"";"";"PLATESV-R-2021-010114";"";"";""
"IRIS";"COMMUNE DE FRANCHEVILLE";"Valide";"Personne morale";"69340";"Rhône";"Auvergne-Rhône-Alpes";"8411Z - Administration publique générale";"PLATESV-R-2021-009927";"2021-09-24";"45.75078633146111";"4.77191244560496"
"Logis de la Chabotterie";"Conseil départemental de la Vendée";"Valide";"Personne morale";"85260";"Vendée";"Pays-de-la-Loire";"8411Z - Administration publique générale";"PLATESV-R-2021-010174";"2021-10-01";"46.711338689461506";"-1.510551508945551"
"LA PASSERELLE";"COMMUNE DE SAINT JUST SAINT RAMBERT";"Invalide";"Personne morale";"42170";"Loire";"Auvergne-Rhône-Alpes";"90.04Z";"PLATESV-R-2021-010135";"";"45.46053394912788";"4.195888757728508"
"LE MOJO";"POTI";"Valide";"Personne morale";"44000";"Loire-Atlantique";"Pays-de-la-Loire";"5630Z - Débits de boissons";"PLATESV-R-2021-009955";"2021-09-24";"47.22792826416092";"-1.478964872839054"
"Comedie du Mas";"LA MUSE THEATRE";"Invalide";"Personne morale";"34920";"Hérault";"Occitanie";"90.04  - Gestion de salles de spectacles";"PLATESV-R-2021-010079";"";"43.631210738693156";"3.936770418276851"
"LE MOJO";"POTI";"Invalidé";"Personne morale";"44000";"Loire-Atlantique";"Pays-de-la-Loire";"5630Z - Débits de boissons";"PLATESV-R-2021-009957";"";"47.22792826416092";"-1.478964872839054"
"LES CARRES";"LES CARRES";"Valide";"Personne morale";"74940";"Haute-Savoie";"Auvergne-Rhône-Alpes";"94.99Z";"PLATESV-R-2021-009964";"2021-09-25";"45.939881600125034";"6.164371907271032"
"La Passerelle, scène nationale de Saint-Brieuc";"LA PASSERELLE SCENE NATIONALE DE SAINT BRIEUC";"Invalidé";"Personne morale";"22000";"Côtes d'Armor";"Bretagne";"90.01Z - Arts du spectacle vivant";"PLATESV-R-2021-010015";"";"48.49715855065944";"-2.737796818101927"
"Haras de la Vendée";"Conseil départemental de la Vendée";"Valide";"Personne morale";"85000";"Vendée";"Pays-de-la-Loire";"8411Z - Administration publique générale";"PLATESV-R-2021-010176";"2021-10-01";"46.711338689461506";"-1.510551508945551"
